epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.823,1.8446,2.33736,1.81063,0.51489,0.56681,0.52944,0.23454,1.82541,1.79848,1.88952,0.067012,0.000333212,0.000333212
2,872.961,1.75166,2.03799,1.73768,0.56111,0.60377,0.60552,0.26688,1.73709,1.61997,1.80608,0.0340113,0.000665895,0.000665895
3,1314.01,1.70689,1.92756,1.7102,0.6804,0.62717,0.66454,0.30663,1.70222,1.44489,1.77914,0.00100808,0.000995976,0.000995976
4,1702.08,1.66944,1.82277,1.67995,0.68161,0.6757,0.68498,0.30199,1.71591,1.34301,1.74558,0.000991232,0.000991232,0.000991232
5,2113.21,1.65164,1.75427,1.6549,0.69825,0.70229,0.73019,0.34792,1.62699,1.26001,1.66731,0.000984449,0.000984449,0.000984449
6,2501.21,1.62807,1.69714,1.63788,0.74837,0.67831,0.73475,0.38504,1.53548,1.24017,1.60829,0.000975773,0.000975773,0.000975773
7,2879.37,1.6091,1.6536,1.62648,0.72946,0.72185,0.74312,0.385,1.58377,1.1941,1.62732,0.000965239,0.000965239,0.000965239
8,3270.3,1.60025,1.61766,1.60918,0.72734,0.72979,0.74996,0.41767,1.49223,1.18348,1.54533,0.000952889,0.000952889,0.000952889
9,3702.23,1.57694,1.57388,1.60532,0.70193,0.72878,0.7159,0.37351,1.56531,1.18114,1.61082,0.000938772,0.000938772,0.000938772
10,4098.98,1.56909,1.55298,1.58921,0.73262,0.73736,0.74173,0.42086,1.43593,1.13253,1.51236,0.000922942,0.000922942,0.000922942
11,4458.55,1.55749,1.51785,1.57954,0.74505,0.75238,0.76739,0.43856,1.45711,1.09803,1.54694,0.000905463,0.000905463,0.000905463
12,4823.38,1.55211,1.50465,1.57192,0.73187,0.75696,0.76865,0.45104,1.44135,1.07696,1.52306,0.000886404,0.000886404,0.000886404
13,5193.22,1.54449,1.48806,1.56479,0.73446,0.75337,0.77001,0.43539,1.46882,1.09371,1.53045,0.000865839,0.000865839,0.000865839
14,5596.08,1.53143,1.46947,1.55825,0.71851,0.74819,0.75625,0.44289,1.43689,1.08209,1.51122,0.000843851,0.000843851,0.000843851
15,5989.95,1.52412,1.44735,1.5536,0.75784,0.7698,0.79681,0.46072,1.4068,1.03566,1.48083,0.000820525,0.000820525,0.000820525
16,6383.89,1.51939,1.42201,1.54786,0.74537,0.75817,0.77531,0.45021,1.41465,1.0384,1.5004,0.000795954,0.000795954,0.000795954
17,6759.86,1.51209,1.42176,1.54331,0.73702,0.75426,0.77933,0.45721,1.40986,1.0629,1.50376,0.000770234,0.000770234,0.000770234
18,7263.78,1.49959,1.40294,1.53615,0.74891,0.7615,0.77752,0.45669,1.4071,1.05315,1.503,0.000743468,0.000743468,0.000743468
19,7779.51,1.49552,1.37614,1.52817,0.74934,0.78366,0.79792,0.47904,1.37694,0.99934,1.4653,0.000715761,0.000715761,0.000715761
20,8271.86,1.49127,1.36674,1.5203,0.74589,0.79154,0.79659,0.47579,1.39048,1.00817,1.47249,0.000687222,0.000687222,0.000687222
21,8670.31,1.47976,1.35597,1.52164,0.75021,0.78445,0.79974,0.48574,1.35132,0.98796,1.43846,0.000657963,0.000657963,0.000657963
22,9017.93,1.46961,1.33083,1.51017,0.76083,0.78712,0.80795,0.47993,1.39312,0.97979,1.46125,0.000628101,0.000628101,0.000628101
23,9361.43,1.46823,1.32086,1.50543,0.75462,0.78882,0.80503,0.48747,1.38074,0.97656,1.45894,0.000597754,0.000597754,0.000597754
24,9703.98,1.46229,1.31479,1.49825,0.75702,0.78604,0.79602,0.48363,1.3608,0.99267,1.44647,0.00056704,0.00056704,0.00056704
25,10049.2,1.45306,1.2881,1.49707,0.76255,0.79891,0.81703,0.48903,1.39571,0.95422,1.4706,0.000536081,0.000536081,0.000536081
26,10390.1,1.44821,1.27626,1.48803,0.76718,0.78907,0.81383,0.49904,1.35428,0.9538,1.43924,0.000505,0.000505,0.000505
27,10728.2,1.43726,1.26082,1.48545,0.75555,0.7893,0.80709,0.49172,1.36557,0.95973,1.45319,0.000473919,0.000473919,0.000473919
28,11067.8,1.43424,1.25323,1.4815,0.76625,0.79097,0.80802,0.50012,1.34527,0.95541,1.44111,0.00044296,0.00044296,0.00044296
29,11407.3,1.42404,1.23194,1.47288,0.76714,0.78893,0.80658,0.49614,1.35029,0.95363,1.44392,0.000412246,0.000412246,0.000412246
30,11746.1,1.42406,1.23081,1.473,0.7691,0.80029,0.8179,0.50729,1.33569,0.93978,1.42908,0.000381899,0.000381899,0.000381899
31,12084.4,1.41676,1.22638,1.46973,0.76428,0.79312,0.80707,0.50258,1.33058,0.96083,1.43184,0.000352037,0.000352037,0.000352037
32,12426.3,1.40931,1.21132,1.46376,0.77278,0.79184,0.81386,0.50309,1.34243,0.94851,1.4344,0.000322778,0.000322778,0.000322778
33,12766.2,1.4021,1.19126,1.45828,0.77453,0.80257,0.81839,0.5048,1.33284,0.93064,1.42902,0.000294239,0.000294239,0.000294239
34,13114,1.39634,1.17603,1.4537,0.7803,0.80829,0.82456,0.51083,1.3326,0.91602,1.42507,0.000266532,0.000266532,0.000266532
35,13453.8,1.39411,1.17613,1.4509,0.77824,0.81103,0.82484,0.50938,1.33736,0.91545,1.4261,0.000239766,0.000239766,0.000239766
36,13793.7,1.39156,1.16479,1.445,0.7809,0.8053,0.82523,0.51329,1.33964,0.91134,1.43186,0.000214046,0.000214046,0.000214046
37,14134,1.38006,1.15978,1.44194,0.78906,0.80424,0.82876,0.51422,1.33662,0.90771,1.42954,0.000189475,0.000189475,0.000189475
38,14474,1.3801,1.15328,1.43915,0.77662,0.79963,0.82075,0.51032,1.33199,0.91713,1.42789,0.000166149,0.000166149,0.000166149
39,14814.1,1.37062,1.14498,1.43114,0.78134,0.7934,0.82343,0.51283,1.3347,0.91639,1.42706,0.000144161,0.000144161,0.000144161
